model_key,model,accuracy,precision,recall,f1,auc,n_test_samples
bert,bert-base-uncased,0.9799196787148594,0.9794407894736842,0.9834847233691164,0.9814585908529048,0.9984229313814308,4482
roberta,roberta-base,0.9814814814814815,0.9850684363334716,0.9805945499587118,0.9828264018208153,0.9988345105144589,4482
